# for file format info please take a look at /input/others/txt_file_description.txt

general:
# duration   delta_t     write_freq   cutoff_radius   output_baseName
25            0.0005       500           3                output

particles:
# origin             velocity         mass    type     old_force
7.17786 29.6318 0     5.5537 10.1798 0     1     0     -230.294 -501.905 0     
3.03545 44.2402 0     5.85485 -10.4281 0     1     0     -0.835843 -10.0594 0     
19.4019 51.6801 0     -0.510603 1.65323 0     1     0     -12.6655 -8.54608 0     
3.79982 49.114 0     0.613983 10.4942 0     1     0     -0.310552 -21.4416 0     
4.65085 46.3057 0     -10.0721 0.385569 0     1     0     460.684 518.134 0     
14.6138 50.9376 0     8.73436 -7.21815 0     1     0     -40.1119 28.9676 0     
12.3411 43.0859 0     -3.49581 -7.93972 0     1     0     -26.9973 4.72042 0     
16.8248 50.9738 0     -8.51966 -6.86798 0     1     0     7.82766 -38.8465 0     
27.7177 42.9491 0     3.0783 -5.22704 0     1     0     421.716 -125.035 0     
8.89789 52.5824 0     -8.36225 -13.928 0     1     0     32.8583 11.0398 0     
48.9568 57.2244 0     -1.46859 -2.47599 0     1     0     -29.9718 -19.5214 0     
8.36363 41.9632 0     -3.14804 8.92401 0     1     0     27.0452 4.03171 0     
4.61895 3.49749e-05 0     -1.76736 -0.0817246 0     1     0     882.357 -165.225 0     
3.37508 0.927833 0     4.30765 -5.52939 0     1     0     -1339.35 198.697 0     
4.27049 1.03551 0     6.72706 1.57149 0     1     0     1078.01 -32.3786 0     
3.74844 3.61169 0     5.83788 10.4452 0     1     0     -86.3049 -203.146 0     
2.64111 3.62871 0     -1.81792 -10.6791 0     1     0     976.405 -1550.86 0     
4.6347 4.14961 0     0.807177 -5.01607 0     1     0     -188.751 268.41 0     
4.3809 6.88081 0     -7.48708 0.109673 0     1     0     -609.149 -133.737 0     
4.6867 2.86318 0     1.7466 -4.49793 0     1     0     -746.45 -316.703 0     
7.38471 6.79704 0     12.4886 -4.86972 0     1     0     12.5601 150.029 0     
4.61412 7.83341 0     -6.27212 6.92903 0     1     0     -286.435 100.212 0     
7.32045 5.81 0     -0.402048 -5.74959 0     1     0     127.678 256.827 0     
2.92562 12.9623 0     -2.85722 -2.97761 0     1     0     411.285 -1473.49 0     
1.16478 22.3394 0     -5.35548 0.342045 0     1     0     322.181 -47.1127 0     
2.20983 20.5407 0     -1.65592 -5.3741 0     1     0     765.481 -815.935 0     
7.2771 17.7189 0     5.15266 2.68216 0     1     0     28.7431 -82.9775 0     
2.81798 21.5425 0     -4.18627 6.65272 0     1     0     179.47 -21.7446 0     
4.21878 15.5818 0     7.04709 2.27467 0     1     0     804.422 -1353.32 0     
2.12344 17.6275 0     -2.19738 -0.250997 0     1     0     -288.899 -151.386 0     
6.57056 13.9547 0     -5.98359 -15.8357 0     1     0     602.367 -782.985 0     
10.206 11.0291 0     -5.2988 -6.2687 0     1     0     -768.553 -486.192 0     
9.4732 16.6921 0     -0.454438 -0.360414 0     1     0     92.2443 -1934.76 0     
6.96487 12.9573 0     3.74043 1.07581 0     1     0     54.5782 100.897 0     
5.50343 17.3004 0     3.11907 -0.073802 0     1     0     132.985 -363.021 0     
2.0326 19.5383 0     -6.22671 7.06581 0     1     0     -404.953 50.4026 0     
2.86584 27.6114 0     -3.52198 0.197987 0     1     0     -539.561 394.533 0     
0.61183 21.2783 0     6.0293 -0.879993 0     1     0     -109.317 146.425 0     
0.315592 19.4646 0     0.135756 -1.20588 0     1     0     -124.679 -218.662 0     
2.37194 29.1929 0     10.7356 0.961729 0     1     0     -17.7681 82.8206 0     
1.80286 37.8799 0     -0.88945 -0.392272 0     1     0     245.125 160.045 0     
7.30285 32.9035 0     -3.55518 3.89502 0     1     0     244.701 -58.3503 0     
1.00496 30.5405 0     -10.1895 -1.03456 0     1     0     676.593 177.684 0     
7.90846 30.2597 0     -7.82218 -8.36284 0     1     0     243.318 238.089 0     
1.06485 36.0977 0     -1.01217 3.83617 0     1     0     515.73 207.124 0     
5.14782 35.0891 0     6.45439 1.4145 0     1     0     -14.1092 11.9881 0     
0.0757884 41.3895 0     -15.4298 5.35851 0     1     0     1.69865 -22.2211 0     
8.87698 46.5245 0     6.17853 -6.61085 0     1     0     -0.321868 -14.4598 0     
11.7947 34.9434 0     -14.1536 -1.39671 0     1     0     -582.014 330.575 0     
0.939581 39.8466 0     17.7984 0.788476 0     1     0     312.315 -145.026 0     
28.8738 41.964 0     0.412349 9.09132 0     1     0     -74.1256 60.0144 0     
9.93654 30.079 0     -0.973201 -5.01115 0     1     0     385.044 109.345 0     
24.1393 43.618 0     -11.3371 7.63467 0     1     0     0.401062 0.453866 0     
22.6571 42.444 0     3.20924 17.1536 0     1     0     442.295 71.282 0     
0.829133 49.5445 0     -12.3803 11.0807 0     1     0     0.142989 -12.7172 0     
4.61113 51.9319 0     8.92781 4.48647 0     1     0     -4.53771 -5.38618 0     
10.5864 48.701 0     11.9125 10.6151 0     1     0     -2.37008 -12.2423 0     
20.4878 51.1134 0     3.01545 24.8084 0     1     0     -494.677 1038.74 0     
12.3748 52.2394 0     4.73982 8.74152 0     1     0     1.05662 -11.7376 0     
53.1719 64.6218 0     11.4764 22.903 0     1     0     12.3861 77.4602 0     
11.0594 41.8359 0     -10.9986 0.27061 0     1     0     95.2974 -55.0117 0     
15.4638 71.4547 0     -4.46745 25.5828 0     1     0     0 -12.44 0     
6.7377 2.68493e-05 0     -2.32755 -0.00442454 0     1     0     -20.6058 -147.178 0     
5.72219 9.66091e-05 0     6.11623 0.00535103 0     1     0     -20.9566 -455.554 0     
5.28281 0.887869 0     -1.02357 7.39144 0     1     0     -204.824 140.596 0     
8.07566 1.97742 0     -0.212457 0.852202 0     1     0     -385.171 -180.378 0     
7.04644 1.76976 0     8.91077 -9.85973 0     1     0     -195.281 148.124 0     
5.72574 2.61938 0     -1.43022 -2.43177 0     1     0     -215.641 2015.46 0     
1.91374 9.99478 0     -4.17536 -4.73702 0     1     0     -489.605 26.6396 0     
1.81533 7.85803 0     5.58827 10.7486 0     1     0     247.343 5.76841 0     
2.77 10.4782 0     5.45383 -11.2987 0     1     0     124.177 600.319 0     
3.44387 7.58604 0     -8.1639 4.47761 0     1     0     72.6692 332.438 0     
4.564 9.57506 0     -0.00455349 3.79939 0     1     0     -207.631 -288.71 0     
1.70602 14.2315 0     -9.84398 -12.3097 0     1     0     588.036 -1127.06 0     
4.80801 12.9214 0     2.60894 -6.85349 0     1     0     -407.578 1695 0     
0.000111685 17.2363 0     -0.215039 -0.937017 0     1     0     -513.553 674.771 0     
6.39526 11.4273 0     -3.65819 1.10681 0     1     0     -635.884 20.0353 0     
1.11013 15.6845 0     -14.4966 -1.63078 0     1     0     -76.7263 104.225 0     
12.4466 11.4856 0     -1.81468 -19.815 0     1     0     -555.368 -118.661 0     
4.1538 11.3448 0     -0.605612 -12.6409 0     1     0     -524.963 877.277 0     
5.83763 15.9941 0     -0.93292 11.211 0     1     0     305.542 287.948 0     
14.7755 10.2231 0     14.8762 6.19388 0     1     0     -128.368 -903.647 0     
6.33123 22.6028 0     13.0743 -9.81319 0     1     0     -556.123 -126.08 0     
5.48961 21.9734 0     1.27977 10.106 0     1     0     453.797 -338.982 0     
