# for file format info please take a look at /input/others/txt_file_description.txt

general:
# duration   delta_t     write_freq   cutoff_radius   output_baseName
25            0.0005       500           3                output

particles:
# origin             velocity         mass    type     old_force
1.24725 23.4197 0     -7.92987 -4.0441 0     1     0     358.548 -359.024 0     
8.29111 19.3514 0     5.109 -5.7648 0     1     0     609.72 -516.324 0     
3.73924 21.6814 0     0.243413 -10.5445 0     1     0     361.703 -145.705 0     
4.61445 25.813 0     -7.64494 4.87982 0     1     0     -80.3566 44.7934 0     
1.09485 25.7172 0     -0.847619 5.23289 0     1     0     78.2665 -240.659 0     
7.747 26.682 0     -1.75708 1.38111 0     1     0     -343.206 301.212 0     
15.6811 29.9031 0     3.59057 4.38024 0     1     0     23.4487 -4.60553 0     
9.45446 21.3038 0     3.32448 4.40351 0     1     0     55.3962 49.9871 0     
12.0747 47.2285 0     1.57173 11.2686 0     1     0     -7.78377 -32.2637 0     
12.5165 27.5086 0     -1.69416 -1.4738 0     1     0     -688.89 596.188 0     
9.71718 24.1635 0     7.10031 -2.9858 0     1     0     353.506 83.6375 0     
11.4665 27.8747 0     -4.51599 -1.73753 0     1     0     0.0189093 522.745 0     
8.82938 29.8892 0     10.7893 1.96126 0     1     0     -394.119 -615.847 0     
9.59322 31.6422 0     -3.07605 6.37781 0     1     0     193.459 363.262 0     
6.80058 43.0484 0     -13.0487 0.190359 0     1     0     81.3093 -47.5262 0     
4.77497 38.5043 0     9.86115 -5.50444 0     1     0     882.925 378.498 0     
4.63712 34.4238 0     7.75557 6.28966 0     1     0     60.3407 403.412 0     
5.75893 61.9911 0     3.55512 -2.98691 0     1     0     -103.609 -985.51 0     
11.4157 49.8969 0     1.43812 6.43719 0     1     0     96.4817 -13.3821 0     
5.99338 38.4534 0     -6.74628 0.357673 0     1     0     -23.512 5.475 0     
19.8211 48.604 0     -0.842385 -7.81505 0     1     0     -147.555 -27.298 0     
8.297 43.825 0     -1.99585 5.13015 0     1     0     0.409713 -21.6336 0     
14.0076 77.1557 0     11.8299 2.10197 0     1     0     0 -12.44 0     
3.24642 37.358 0     5.64594 -8.01529 0     1     0     1.63862 -854.855 0     
114.167 61.5276 0     -27.3698 8.95429 0     1     0     0.277776 -12.8728 0     
7.11992 1.01471 0     6.81204 -9.8736 0     1     0     -459.499 -559.138 0     
6.49219 1.83615 0     2.00329 -3.58589 0     1     0     40.6247 -529.372 0     
7.6211 1.82282 0     1.26171 -2.93641 0     1     0     -364.762 1160.54 0     
8.004 2.75047 0     -7.6174 -3.1033 0     1     0     -49.5719 -20.2151 0     
6.67395 4.2593 0     1.7946 0.152523 0     1     0     -47.0846 -286.58 0     
7.44807 5.54192 0     1.07969 -6.88841 0     1     0     716.038 -144.362 0     
5.62097 5.67882 0     -6.35851 -7.12718 0     1     0     167.676 162.874 0     
5.9201 8.01556 0     3.47002 -7.37334 0     1     0     -1720.37 -1380.62 0     
6.46675 6.22158 0     -0.228152 -2.89406 0     1     0     -346.147 -1073.64 0     
7.15686 7.71446 0     2.54649 -3.29463 0     1     0     -941.58 21.3415 0     
9.79623 7.1138 0     -11.193 -4.87818 0     1     0     -374.933 860.78 0     
3.76786 10.0217 0     -5.55734 -5.70511 0     1     0     206.604 -605.123 0     
8.00878 11.8346 0     -9.17711 0.112386 0     1     0     263.496 -119.79 0     
5.43864 11.1065 0     1.92478 5.76975 0     1     0     104.694 -145.328 0     
8.6875 16.4561 0     2.39537 -4.35581 0     1     0     1181.48 -37.0154 0     
8.0899 13.8305 0     -10.054 -6.45976 0     1     0     101.974 33.2756 0     
7.49285 14.8209 0     5.95372 5.3343 0     1     0     44.9457 -350.56 0     
7.75834 16.4468 0     -13.7425 3.35777 0     1     0     342.883 -345.88 0     
10.487 20.7252 0     -7.26029 13.5684 0     1     0     -406.532 -385.158 0     
12.0086 16.9429 0     4.20616 -0.939649 0     1     0     45.3929 -226.928 0     
5.1814 18.0988 0     -20.5787 0.0228745 0     1     0     -180.73 488.604 0     
10.6759 19.5193 0     5.493 3.63167 0     1     0     -285.493 601.37 0     
13.9451 18.5545 0     4.60333 1.69393 0     1     0     296.792 6.89974 0     
9.07896 20.2498 0     7.18292 7.48367 0     1     0     -94.4102 181.522 0     
6.04296 23.7429 0     0.142325 -13.5247 0     1     0     -1134.52 -21.107 0     
6.89911 22.1992 0     1.52218 -2.97813 0     1     0     33.8754 -501.235 0     
7.24624 32.8038 0     -6.44534 4.92092 0     1     0     13.2461 -33.9666 0     
9.37463 27.8508 0     7.49361 -7.6232 0     1     0     -134.021 -319.523 0     
7.16164 23.5611 0     4.55105 8.79533 0     1     0     11.6925 -400.121 0     
4.84924 29.5869 0     0.278757 2.21151 0     1     0     -454.996 63.2873 0     
5.68123 24.7888 0     -13.694 1.25067 0     1     0     -148.683 39.5464 0     
9.49454 26.0638 0     5.22032 -6.91644 0     1     0     -400.552 1209.51 0     
8.45585 26.0096 0     2.5759 -4.94246 0     1     0     295.707 -181.169 0     
1.73221 35.7541 0     -11.166 2.38899 0     1     0     266.008 -271.829 0     
16.1313 33.1932 0     10.7439 -2.03588 0     1     0     1097.84 394.637 0     
14.9374 30.8467 0     -2.67388 3.98656 0     1     0     -45.5316 -7.17741 0     
8.2443 34.7869 0     6.83293 2.70243 0     1     0     53.3875 284.264 0     
6.02068 35.2947 0     -4.76783 -0.418297 0     1     0     -122.498 -1.16311 0     
11.7235 35.9608 0     5.80291 -14.8575 0     1     0     68.5756 -23.5009 0     
13.309 27.0312 0     -2.02509 -5.00824 0     1     0     753.037 -439.865 0     
9.97511 29.3611 0     -3.81618 -8.5845 0     1     0     667.815 498.95 0     
3.67033 35.1813 0     -0.469823 -6.96551 0     1     0     59.358 -169.811 0     
27.2355 72.1999 0     16.8264 17.601 0     1     0     0.599517 -10.5353 0     
10.1947 32.7685 0     -4.80021 2.86463 0     1     0     -364.848 -9.47938 0     
6.59897 39.3694 0     -11.8462 1.45589 0     1     0     -315.921 56.3012 0     
15.6176 42.8353 0     1.45468 -5.02362 0     1     0     -8.36036 7.90213 0     
11.7103 63.8043 0     3.4434 4.6067 0     1     0     -0.298089 -13.933 0     
7.48444 44.7769 0     1.79432 0.658504 0     1     0     8.53879 1.04458 0     
42.1061 46.5302 0     -19.3472 14.2273 0     1     0     11.1286 293.822 0     
45.315 65.3495 0     -1.92408 -14.0685 0     1     0     0.0764273 -12.628 0     
8.15107 1.07712 0     4.35535 6.52445 0     1     0     586.234 -910.093 0     
9.17042 1.11151 0     1.9481 1.26631 0     1     0     -291.128 -171.062 0     
8.71388 2.02598 0     9.49333 5.8493 0     1     0     -15.9241 -126.637 0     
9.34134 2.82346 0     9.54611 -3.89785 0     1     0     -1855.2 -150.815 0     
7.38857 3.62529 0     -11.0426 6.95046 0     1     0     92.0726 -734.909 0     
8.50537 3.59038 0     1.49046 -6.32904 0     1     0     -73.9442 -262.203 0     
6.59974 5.22565 0     3.23744 3.60696 0     1     0     -1021.65 -198.537 0     
7.7934 4.47917 0     -1.62487 -6.24523 0     1     0     286.767 625.014 0     
8.5584 5.38353 0     4.9728 -1.82129 0     1     0     -120.663 6.04886 0     
9.0061 6.35739 0     5.63885 0.111935 0     1     0     313.665 32.4755 0     
10.1279 6.25503 0     -0.483576 -0.36664 0     1     0     453.441 -863.681 0     
9.23358 8.03796 0     2.69183 5.26048 0     1     0     -218.731 19.9486 0     
6.93719 10.0723 0     -1.42946 -6.77634 0     1     0     -439.945 -404.425 0     
7.23651 12.6642 0     -4.02135 2.79034 0     1     0     183.627 270.082 0     
8.93747 18.528 0     12.6041 12.9944 0     1     0     29.2665 -20.7707 0     
5.32956 12.6343 0     3.99963 -7.96058 0     1     0     -374.915 -480.384 0     
9.5079 12.6172 0     -9.68699 5.57744 0     1     0     438.825 1670.52 0     
9.67506 15.5373 0     -9.88592 -3.30109 0     1     0     -387.97 334.803 0     
11.0093 16.3459 0     17.8565 6.81743 0     1     0     -68.4651 280.59 0     
7.30986 17.2358 0     0.800682 2.0157 0     1     0     -2034.96 365.625 0     
8.08483 23.1372 0     0.73097 -1.56535 0     1     0     -494.411 -380.189 0     
13.899 16.2703 0     -2.34231 -0.655907 0     1     0     440.027 -292.917 0     
