# for file format info please take a look at /input/others/txt_file_description.txt
general:
# duration   delta_t     write_freq   cutoff_radius   output_baseName
5            0.0005         100            2.5            output

particles:
# origin             velocity         mass    type     old_force
27.8798 1.11593 0     -7.42155 -12.8194 0     1     0     25.744 181.25 0     
19.3022 3.06236 0     -12.5577 -2.44227 0     1     0     72.7415 -167.023 0     
20.5493 1.88649 0     1.05338 21.2713 0     1     0     1.98891 -7.83521 0     
18.0866 10.9707 0     4.43964 0.483561 0     1     0     -3485.74 1042.45 0     
20.6875 17.5754 0     -3.70388 0.433153 0     1     0     -4958.82 1109.9 0     
17.601 1.25935 0     12.3834 11.2904 0     1     0     522.127 157.076 0     
10.7942 10.7581 0     1.74687 -13.0465 0     1     0     438.816 -287.579 0     
16.8882 12.8223 0     4.78616 -2.00308 0     1     0     2.01711 -10.5612 0     
17.8308 4.40458 0     7.07288 -5.78561 0     1     0     145.22 -882.592 0     
22.5418 15.613 0     -3.9445 -9.32311 0     1     0     1038.23 -36.9163 0     
28.4365 5.57746 0     18.4275 -7.09159 0     1     0     -325.913 -213.211 0     
20.8884 15.7313 0     -8.85395 1.41196 0     1     0     487.699 -1043.83 0     
11.659 16.9789 0     10.7152 -26.6614 0     1     0     64.711 142.865 0     
22.4783 8.74869 0     6.14772 -10.7826 0     1     0     756.894 1100.66 0     
17.0649 1.86588 0     -3.33125 -19.4287 0     1     0     652.427 656.832 0     
19.3869 7.09299 0     -27.9486 3.7022 0     1     0     -430.166 220.264 0     
19.0482 6.02871 0     12.4007 26.692 0     1     0     14.7071 2.39513 0     
18.227 3.04483 0     10.8128 -22.0386 0     1     0     -3.76939 3.87192 0     
18.7227 10.7836 0     -16.1249 -0.510787 0     1     0     3369.24 -885.781 0     
16.8951 14.0588 0     -9.55283 -7.04929 0     1     0     91.9646 -1.38361 0     
17.0898 11.1638 0     -10.801 -12.8115 0     1     0     558.48 46.92 0     
18.3571 10.0672 0     9.31516 16.0775 0     1     0     1035.17 -371.393 0     
16.3818 10.7958 0     -11.8435 -13.5117 0     1     0     -153.016 -2856.71 0     
8.42442 12.2917 0     -3.74731 -4.90673 0     1     0     -387.644 1054.41 0     
11.5682 9.71336 0     10.3843 -0.695946 0     1     0     -1648.02 3294.06 0     
18.0228 14.0145 0     1.06265 10.1742 0     1     0     18.5597 -117.664 0     
11.861 9.10081 0     -16.2461 -27.2012 0     1     0     1355.11 -2805.16 0     
26.2225 1.31283 0     -1.66431 -13.3915 0     1     0     -94.0355 35.4507 0     
26.3994 0.354587 0     -1.45917 -12.9797 0     1     0     738.398 840.329 0     
23.1948 2.44148 0     -6.03406 -7.19817 0     1     0     -456.221 -847.009 0     
16.7946 4.69585 0     10.2052 -3.53419 0     1     0     -2.74336 -16.3849 0     
8.24082 13.7135 0     -2.67564 7.31495 0     1     0     115.813 242.562 0     
18.0987 7.41761 0     1.28821 -15.4965 0     1     0     21.2806 10.9956 0     
8.50722 7.99222 0     -4.1108 -0.578279 0     1     0     -235.248 -540.418 0     
25.3482 3.6498 0     -7.21289 -5.90627 0     1     0     -51.2469 -49.9441 0     
12.7186 12.9518 0     -0.567766 -18.8574 0     1     0     -2.30513 -18.5336 0     
14.9008 16.1571 0     -0.660153 -18.6512 0     1     0     17.6744 -17.0772 0     
19.973 6.57382 0     1.72371 -10.97 0     1     0     460.287 -430.1 0     
14.0525 12.427 0     0.338752 -8.09555 0     1     0     -14.8202 -7.769 0     
27.9782 12.5538 0     -22.8256 4.68782 0     1     0     1298.94 894.184 0     
8.88078 6.60287 0     28.8271 -11.9781 0     1     0     -15.9083 -67.0165 0     
21.967 0.444912 0     0.883983 -11.7039 0     1     0     1.03528 -11.0828 0     
18.0823 0.370551 0     -0.17254 12.5452 0     1     0     -240.12 -29.284 0     
16.7572 8.63144e-05 0     -6.05513 -0.341092 0     1     0     -276.563 -685.239 0     
20.0202 4.97668 0     6.26208 5.69759 0     1     0     1.10276 -13.1279 0     
12.1422 7.56839 0     -6.05137 3.8608 0     1     0     -60.2318 6.25677 0     
13.3158 4.56615 0     3.3537 12.6047 0     1     0     45.5526 -39.7481 0     
25.0062 0.230345 0     13.3075 -16.0186 0     1     0     -232.955 60.5756 0     
22.1061 6.80325 0     0.725999 -7.70222 0     1     0     -15.5538 -13.0227 0     
18.0731 12.4121 0     -0.817183 -14.0308 0     1     0     -3516.91 3208.42 0     
17.6268 14.76 0     15.8728 5.36538 0     1     0     -59.0976 117.577 0     
14.1634 15.2703 0     -5.59325 -30.602 0     1     0     11.1537 -16.4087 0     
17.0913 7.48533 0     -8.00445 -11.1972 0     1     0     46.112 -1227.19 0     
12.6317 13.9786 0     3.85432 -18.6249 0     1     0     -499.963 -355.291 0     
13.2007 14.5134 0     21.086 -15.9012 0     1     0     191.683 561.271 0     
23.2292 3.77375 0     18.6109 3.66206 0     1     0     58.6221 70.6125 0     
21.937 2.10554 0     -13.2721 -0.791885 0     1     0     1174.17 1705.73 0     
24.6642 15.4057 0     8.00131 9.4467 0     1     0     -20.7618 -8.48117 0     
26.7628 4.12026 0     -4.07717 0.677974 0     1     0     868.119 97.9744 0     
18.9012 0.419121 0     0.697739 13.5818 0     1     0     239.287 3.87779 0     
15.5801 4.77392 0     -27.8184 -7.89188 0     1     0     193.501 356.014 0     
19.8977 9.04429 0     13.0189 -15.9065 0     1     0     804.013 -919.504 0     
21.3558 3.66938 0     -6.81735 -6.25438 0     1     0     -7.04338 -10.5125 0     
20.2028 7.96252 0     -20.3395 11.5516 0     1     0     7.94788 -0.223508 0     
21.0188 4.57891 0     -18.5891 -31.2337 0     1     0     -6.13562 -0.0361958 0     
17.5899 6.61876 0     -6.17281 -15.0289 0     1     0     -8.48892 -39.7244 0     
15.3681 10.6625 0     -11.432 -6.99974 0     1     0     -107.183 182.591 0     
19.846 13.0643 0     -11.124 -16.3145 0     1     0     132.848 -637.509 0     
13.7483 11.0394 0     14.9816 -9.26034 0     1     0     -2932.18 736.564 0     
23.9136 4.47008 0     9.41758 -16.6617 0     1     0     29.3627 -124.833 0     
