# for file format info please take a look at /input/others/txt_file_description.txt

general:
# duration   delta_t     write_freq   cutoff_radius  parallel_strategy  output_baseName
25            0.0005       500           3                 0                 output

particles:
# origin             velocity         mass    type     old_force
5.98435 2.73486 0     0.811313 -0.227772 0     1     0     -32.4387 31.1011 0     
4.97338 2.73885 0     0.246369 1.01999 0     1     0     128.159 74.4705 0     
5.42549 3.64664 0     -0.805388 -0.685661 0     1     0     -17.1508 -41.8235 0     
4.73076 4.65913 0     0.292801 1.16644 0     1     0     -89.1585 -82.6807 0     
5.4081 5.37004 0     -0.0879774 0.871208 0     1     0     76.4466 60.709 0     
4.59529 6.93092 0     -0.257156 -0.173932 0     1     0     64.4342 16.5071 0     
3.70194 7.49252 0     0.201895 0.498322 0     1     0     38.8578 -100.549 0     
5.46665 7.43184 0     -1.1055 0.413126 0     1     0     -16.2479 59.3841 0     
4.57201 9.02702 0     -0.358196 0.757889 0     1     0     74.6866 -134.178 0     
3.68744 8.5107 0     -0.268624 0.369167 0     1     0     49.0547 81.3943 0     
3.68769 9.55711 0     -0.0238897 0.867013 0     1     0     -10.0456 -90.3011 0     
3.6985 10.5766 0     -0.399425 0.068535 0     1     0     21.6303 15.3499 0     
4.62082 11.0609 0     -0.825152 0.435905 0     1     0     -86.9095 53.3707 0     
3.69662 11.5978 0     -0.0768364 -0.304106 0     1     0     124.888 -52.9077 0     
3.70997 12.6231 0     -0.0890382 0.234824 0     1     0     79.2062 24.1808 0     
3.72953 13.6592 0     1.21312 -0.706854 0     1     0     -40.1744 38.9649 0     
4.62487 13.1357 0     0.501128 1.77041 0     1     0     -34.4694 -36.7967 0     
5.54977 14.6608 0     0.53888 0.532392 0     1     0     40.9656 69.8476 0     
5.57673 15.7119 0     0.266035 0.0621111 0     1     0     -47.3756 -17.1869 0     
4.65464 16.2592 0     0.890705 0.719588 0     1     0     -60.6314 -52.3118 0     
5.54639 16.7478 0     -0.39732 0.507951 0     1     0     60.4746 70.5843 0     
4.67296 17.3286 0     -0.780398 0.792121 0     1     0     14.7378 -6.94337 0     
4.67921 18.4072 0     0.18079 -0.135498 0     1     0     65.4961 -99.4096 0     
4.70964 19.4542 0     0.442287 0.0316137 0     1     0     11.7923 -53.3158 0     
4.77372 20.5075 0     -0.476761 1.49956 0     1     0     -121.547 63.1312 0     
5.66587 21.0514 0     -0.610198 -0.336106 0     1     0     106.684 -8.06381 0     
4.89793 22.6682 0     1.3652 1.3313 0     1     0     25.3454 -25.8973 0     
4.84787 23.7081 0     0.947014 0.854716 0     1     0     -49.392 -52.7653 0     
5.75992 24.1714 0     0.740568 0.880832 0     1     0     29.9644 -69.5345 0     
4.91146 24.7904 0     -0.256269 1.06211 0     1     0     -41.887 46.5919 0     
5.99794 25.2068 0     0.511852 0.650048 0     1     0     -18.6819 -4.08253 0     
5.96482 27.0242 0     -0.844852 0.755959 0     1     0     45.5863 23.4336 0     
4.96424 26.9394 0     1.13646 -0.838575 0     1     0     -171.179 -47.457 0     
5.04654 28.0403 0     -0.417073 -0.0397139 0     1     0     22.3999 -64.9149 0     
5.82552 28.8322 0     0.943322 -1.00225 0     1     0     5.28694 -8.37213 0     
4.82768 30.1774 0     0.0657114 -0.647623 0     1     0     8.27582 -11.3075 0     
5.72653 30.7255 0     1.50048 -0.142683 0     1     0     34.5953 71.615 0     
5.94648 31.8106 0     1.55966 -1.07311 0     1     0     -56.6617 -33.9031 0     
6.08525 32.8792 0     -0.525157 -0.684397 0     1     0     -6.92801 -27.6493 0     
4.95772 32.3879 0     -0.755335 0.351962 0     1     0     117.941 1.19165 0     
4.05987 32.9963 0     -0.39388 -0.799343 0     1     0     -69.7319 -52.3158 0     
5.19976 34.5633 0     0.0583089 -0.523184 0     1     0     -83.7873 -7.60752 0     
4.14122 35.1886 0     -0.00610467 1.70078 0     1     0     -1.02102 -36.3923 0     
4.18392 36.3136 0     0.186031 1.17712 0     1     0     25.9602 -20.344 0     
4.26106 37.455 0     1.05284 0.0973847 0     1     0     21.1979 7.12264 0     
4.40477 38.6519 0     -0.702766 0.00614154 0     1     0     -30.6953 0.947745 0     
3.31015 39.286 0     -0.270088 1.07407 0     1     0     29.7087 -17.16 0     
4.41243 39.9543 0     -0.231204 0.493282 0     1     0     13.471 -20.9288 0     
7.02967 0.960664 0     -0.00703437 0.292048 0     1     0     8.19829 167.32 0     
6.52114 1.85168 0     -0.432084 0.735322 0     1     0     8.57823 -59.9112 0     
7.00056 2.72249 0     -0.405664 0.347143 0     1     0     -63.0462 14.9637 0     
6.44071 3.62283 0     -0.92804 -0.0234691 0     1     0     94.7724 -53.8881 0     
7.47054 3.5883 0     -0.0803373 0.915955 0     1     0     -32.8604 95.225 0     
6.9359 4.49665 0     0.274277 -0.0602408 0     1     0     -46.4117 -74.463 0     
5.90963 4.50447 0     -0.262752 0.611316 0     1     0     -60.2458 62.8502 0     
6.40436 5.40697 0     0.150917 -0.539713 0     1     0     -84.8278 -95.3011 0     
5.54853 6.36632 0     -0.845304 0.907887 0     1     0     -39.7995 -12.4758 0     
6.34931 6.97052 0     -0.0402683 -0.370261 0     1     0     39.1486 -69.3664 0     
5.48056 8.46879 0     -0.889255 0.0648248 0     1     0     17.1557 51.892 0     
6.36087 8.99282 0     -0.463075 0.59485 0     1     0     20.4455 -11.0735 0     
5.48054 9.50917 0     -0.945628 0.886717 0     1     0     7.29642 1.81837 0     
6.40164 10.0098 0     0.540066 0.34611 0     1     0     -36.7832 -49.2937 0     
4.59358 10.0363 0     -0.397536 0.73627 0     1     0     23.6929 95.2438 0     
5.5111 10.5387 0     -0.767697 0.480378 0     1     0     -22.692 -50.131 0     
4.62016 12.0953 0     -1.08286 -0.813315 0     1     0     -54.315 -28.6314 0     
5.51652 12.6027 0     -0.258186 0.539145 0     1     0     63.8431 -91.9647 0     
5.53776 13.623 0     1.31455 -0.0541593 0     1     0     -54.7186 63.4846 0     
6.43995 14.1231 0     -0.903592 0.42074 0     1     0     9.71036 127.525 0     
6.47024 15.1802 0     -0.869135 -0.0979099 0     1     0     -2.97319 -13.5048 0     
6.49261 16.2321 0     0.458715 -0.324618 0     1     0     27.6583 -49.4148 0     
6.44279 17.246 0     0.462603 -0.916412 0     1     0     102.358 113.807 0     
5.58438 17.8365 0     0.729029 0.337183 0     1     0     2.01448 3.38692 0     
5.62304 18.8933 0     0.730538 0.0526912 0     1     0     49.6523 -3.45937 0     
5.63085 19.9274 0     -0.890869 -0.205482 0     1     0     21.1751 -29.5446 0     
6.50128 20.4234 0     0.422754 0.017255 0     1     0     19.4242 37.7559 0     
6.67674 21.4853 0     0.330768 1.12228 0     1     0     6.19221 -85.9325 0     
5.83442 22.1216 0     1.8385 0.778929 0     1     0     -31.5869 69.3947 0     
6.16285 23.1745 0     -1.43145 0.268975 0     1     0     -70.4051 63.6319 0     
7.41226 23.4718 0     0.495221 1.00574 0     1     0     -34.5316 28.9542 0     
6.76858 24.3244 0     -0.422784 0.627725 0     1     0     74.949 -36.3941 0     
7.15418 25.3128 0     1.26809 0.707502 0     1     0     49.8536 -77.5371 0     
6.50713 26.1345 0     -0.687489 -0.384068 0     1     0     -16.4928 36.5319 0     
7.04457 27.1151 0     0.264861 0.972615 0     1     0     9.21735 22.435 0     
6.40842 27.9813 0     0.40429 1.99712 0     1     0     39.6275 7.25746 0     
6.91015 29.0161 0     1.21537 0.953817 0     1     0     24.2867 -8.61341 0     
6.20995 29.8134 0     -0.629917 -0.454548 0     1     0     27.0749 47.1593 0     
6.74819 31.05 0     0.359492 0.712286 0     1     0     -57.3308 -25.4342 0     
7.01782 32.1688 0     0.142817 1.23229 0     1     0     13.1874 -43.2654 0     
7.1975 33.2626 0     -0.41194 -0.549008 0     1     0     -23.5017 3.84433 0     
6.1265 33.9477 0     -1.29489 -0.604451 0     1     0     62.8279 33.3482 0     
5.069 33.4816 0     -1.21231 1.76062 0     1     0     58.4027 -33.5832 0     
6.17894 35.0841 0     1.20254 0.0518742 0     1     0     48.8459 -14.463 0     
5.17594 35.6534 0     -0.71921 0.388708 0     1     0     13.886 52.2105 0     
5.25872 36.7773 0     0.16158 0.605715 0     1     0     10.2614 33.499 0     
5.3872 37.967 0     -0.710368 -0.98954 0     1     0     -20.9159 4.19907 0     
6.47649 38.5565 0     -0.713896 -0.671897 0     1     0     -39.5683 -0.629828 0     
5.44671 39.1731 0     -1.4453 -1.23543 0     1     0     10.4773 3.9451 0     
5.76743 40.3139 0     -0.0105785 1.88963 0     1     0     -45.4245 26.0734 0     
8.04452 0.965383 0     -0.0508848 1.0217 0     1     0     24.2021 5.63728 0     
7.53591 1.84578 0     -1.51204 -1.25705 0     1     0     -53.526 -85.1861 0     
8.01923 2.71364 0     -0.835057 0.0630709 0     1     0     47.8609 -70.8449 0     
9.04895 2.70605 0     0.183175 0.846653 0     1     0     -23.1279 -67.7398 0     
7.96375 4.45501 0     -0.41591 1.77033 0     1     0     24.2709 -43.8818 0     
7.45289 5.33759 0     -0.0405085 -0.941565 0     1     0     -6.17353 -18.2125 0     
7.9443 6.22137 0     -0.0928879 0.566896 0     1     0     160.011 6.58976 0     
6.95767 6.20307 0     0.0111214 0.518497 0     1     0     -103.907 148.6 0     
7.3561 7.14518 0     0.508822 -0.315719 0     1     0     65.4898 122.796 0     
6.38563 7.96002 0     -1.02122 1.04107 0     1     0     7.46082 -38.1149 0     
7.23659 8.47792 0     -0.0425731 0.21323 0     1     0     -70.4735 36.9245 0     
7.29271 9.47027 0     0.685062 0.534642 0     1     0     25.4775 -1.67832 0     
7.29709 10.5072 0     0.257147 -0.995255 0     1     0     21.5043 -67.6 0     
6.42062 11.0297 0     1.09368 1.15211 0     1     0     -65.3673 -2.80792 0     
7.32142 11.5254 0     -0.108811 -0.999425 0     1     0     23.3086 -10.115 0     
6.42421 12.0438 0     -0.346457 -0.202625 0     1     0     -70.5938 137.357 0     
5.52609 11.5639 0     0.443513 0.130887 0     1     0     -63.2538 18.1504 0     
6.42305 13.1012 0     -0.28808 -0.922955 0     1     0     60.3412 -113.543 0     
7.33646 13.6163 0     0.453822 -0.312734 0     1     0     63.0086 -94.9508 0     
7.35402 14.6396 0     -0.17402 -0.28998 0     1     0     1.11194 22.416 0     
7.39372 15.7024 0     0.256296 -1.40056 0     1     0     -21.2249 8.39522 0     
7.46026 16.7519 0     0.855557 0.376294 0     1     0     -13.5756 -21.4307 0     
7.33916 17.7515 0     0.692954 0.327614 0     1     0     55.9539 37.9796 0     
6.52159 18.3533 0     -0.430417 -0.235587 0     1     0     -35.802 18.425 0     
7.54347 18.8141 0     -0.794622 -0.0726391 0     1     0     -61.7059 20.5331 0     
6.64257 19.4026 0     1.13749 -0.440911 0     1     0     38.6593 -16.3558 0     
7.44921 20.714 0     0.186355 1.10405 0     1     0     -81.1781 8.62063 0     
7.73979 21.7117 0     1.05307 0.701814 0     1     0     15.6298 55.7002 0     
6.95978 22.4915 0     -1.23915 0.353891 0     1     0     75.2173 8.85182 0     
8.1271 22.6903 0     -1.76522 0.0122063 0     1     0     -7.42767 -62.8515 0     
8.55765 23.6518 0     0.804439 -0.188338 0     1     0     -11.9083 48.5481 0     
7.86894 24.4876 0     -0.769329 -0.4809 0     1     0     13.9679 -31.4628 0     
8.33738 25.4622 0     0.806541 0.0701589 0     1     0     -8.80595 -131.882 0     
7.64862 26.2506 0     -0.0532878 0.127821 0     1     0     -0.944011 67.7546 0     
8.13187 27.2738 0     0.407665 1.24865 0     1     0     14.9795 -13.2809 0     
